,0,1,2
886,1003,5,2
887,1003,5,2
888,1003,5,2
889,1003,5,2
890,1003,5,2
891,1003,5,2
892,1003,5,2
893,1003,5,2
894,1003,5,3
895,1003,5,3
896,1003,5,3
897,1004,2,0
898,1004,2,0
899,1004,2,0
900,1004,2,0
901,1004,2,0
902,1004,2,0
903,1004,2,0
904,1004,2,0
905,1004,2,0
906,1004,2,0
907,1004,2,0
908,1004,2,0
909,1004,2,0
910,1004,2,0
911,1004,2,0
912,1004,2,0
913,1004,2,0
914,1004,2,0
915,1004,2,0
916,1004,2,0
917,1004,2,0
918,1004,2,0
919,1004,2,0
920,1004,2,0
921,1004,2,0
922,1004,2,0
923,1004,2,0
924,1004,2,0
925,1004,2,0
926,1004,2,0
927,1004,2,1
928,1004,2,1
929,1004,2,1
930,1004,2,1
931,1004,2,1
932,1004,2,1
933,1004,2,1
934,1004,2,1
935,1004,2,1
936,1004,2,1
937,1004,2,1
938,1004,2,1
939,1004,2,1
940,1004,2,1
941,1004,2,1
942,1004,2,1
943,1004,2,1
944,1004,2,1
945,1004,2,1
946,1004,2,1
947,1004,2,1
948,1004,2,1
949,1004,2,1
950,1004,2,1
951,1004,2,1
952,1004,2,1
953,1004,2,1
954,1004,2,1
955,1004,2,1
956,1004,2,1
957,1004,2,2
958,1004,2,2
959,1004,2,2
960,1004,2,2
961,1004,2,2
962,1004,2,2
963,1004,2,2
964,1004,2,2
965,1004,2,2
966,1004,2,2
967,1004,2,2
968,1004,2,2
969,1004,2,2
970,1004,2,2
971,1004,2,2
972,1004,2,2
973,1004,2,2
974,1004,2,2
975,1004,2,2
976,1004,2,2
977,1004,2,2
978,1004,2,2
979,1004,2,2
980,1004,2,2
981,1004,2,2
982,1004,2,2
983,1004,2,2
984,1004,2,2
985,1004,2,2
986,1004,2,2
987,1004,2,3
988,1004,2,3
989,1004,2,3
990,1004,2,3
991,1004,2,3
992,1004,2,3
993,1004,2,3
994,1004,2,3
995,1004,2,3
996,1004,2,3
997,1004,2,3
998,1004,2,3
999,1004,2,3
1000,1004,2,3
1001,1004,2,3
1002,1004,2,3
1003,1004,2,3
1004,1004,2,3
1005,1004,2,3
1006,1004,2,3
1007,1004,2,3
1008,1004,2,3
1009,1004,2,3
1010,1004,2,3
1011,1004,2,3
1012,1004,2,3
1013,1004,2,3
1014,1004,2,3
1015,1004,2,3
1016,1004,2,3
1017,1004,2,3
1018,1004,2,3
1019,1004,2,3
1020,1004,2,3
1021,1004,2,3
1022,1004,2,3
1023,1004,2,3
1024,1004,2,3
1025,1005,0,0
1026,1005,0,0
1027,1005,0,0
1028,1005,0,0
1029,1005,0,0
1030,1005,0,0
1031,1005,0,0
1032,1005,0,0
1033,1005,0,0
1034,1005,0,0
1035,1005,0,0
1036,1005,0,0
1037,1005,0,0
1038,1005,0,0
1039,1005,0,0
1040,1005,0,0
1041,1005,0,0
1042,1005,0,0
1043,1005,0,0
1044,1005,0,0
1045,1005,0,0
1046,1005,0,0
1047,1005,0,0
1048,1005,0,0
1049,1005,0,0
1050,1005,0,0
1051,1005,0,0
1052,1005,0,0
1053,1005,0,0
1054,1005,0,0
1055,1005,0,1
1056,1005,0,1
1057,1005,0,1
1058,1005,0,1
1059,1005,0,1
1060,1005,0,1
1061,1005,0,1
1062,1005,0,1
1063,1005,0,1
1064,1005,0,1
1065,1005,0,1
1066,1005,0,1
1067,1005,0,1
1068,1005,0,1
1069,1005,0,1
