ID,Session,WindowLength,Shrinkage,Kernel,nClusters,SilhouetteCoefficient,CalinskiHarabaszScore,RiemannianVariance,DaviesBouldinIndex,GeodesicDistanceRatio,RandScoreActivities,RandScoreSessions,RandScoreIds,nActivities
all,all,15,0.01,lwf,6,,4370.901,"[np.float64(9.801005446674123), np.float64(14.50698972256594), np.float64(11.66612894590457), np.float64(12.080504803151891), np.float64(12.2858851372988), np.float64(13.567277774809117)]",14.748581286292428,1.541563095337687,0.0016489226631894883,0.004941406443125935,,1809
all,all,15,0.01,lwf,7,,3897.4663,"[np.float64(9.838860783466236), np.float64(12.745724770581603), np.float64(12.111335255867372), np.float64(12.778982281210109), np.float64(11.071698373462013), np.float64(13.078105239872535), np.float64(14.947782629854464)]",15.285796953350154,1.4784037381545605,0.001842854779865476,0.003521276150225996,,1809
all,all,15,0.01,lwf,8,,3552.6165,"[np.float64(9.499683981615227), np.float64(13.658473435478948), np.float64(12.466864569181123), np.float64(14.578353304156543), np.float64(10.891581713075123), np.float64(12.43144165709163), np.float64(12.273616102089719), np.float64(11.595764626172699)]",14.257313778465942,1.47546897319931,0.0014118916156974773,0.0044216340692066385,,1809
all,all,15,0.01,lwf,9,,3169.7937,"[np.float64(12.704042270426624), np.float64(9.363345731671231), np.float64(11.796726450591423), np.float64(11.26504655711278), np.float64(11.228254200865296), np.float64(14.599642795691677), np.float64(13.414080213996506), np.float64(12.610793118675105), np.float64(12.017495732158286)]",14.869469307991059,1.4801642071359358,0.001543010978776308,0.004384779396258625,,1809
all,all,15,0.01,tyl,3,,8024.5625,"[np.float64(17.974510027795745), np.float64(21.65114546189919), np.float64(22.56327753335315)]",21.886046580481302,2.169937077365972,0.0020937613232945196,0.0030492795737346147,,1809
all,all,15,0.01,tyl,4,,5967.6904,"[np.float64(21.86327981307567), np.float64(22.806832934296306), np.float64(20.61282747184008), np.float64(16.02051497237305)]",21.95021658797824,2.075657672410035,0.0009092194194303826,0.0033220939945656676,,1809
all,all,15,0.01,tyl,5,,5136.8774,"[np.float64(20.861673487780596), np.float64(18.426135262739365), np.float64(22.197478567479326), np.float64(22.270249413415502), np.float64(16.252015519794767)]",21.181331585262143,1.9506069180477363,0.0017128989311197794,0.0050016315139751015,,1809
all,all,15,0.01,tyl,6,,4601.6167,"[np.float64(15.558780216439905), np.float64(20.17742764100934), np.float64(21.262673038810256), np.float64(19.557855223500333), np.float64(22.322043519661868), np.float64(18.96288557481996)]",21.120866673302093,1.9468509367574218,0.0006306471470574987,0.005407726462046776,,1809
all,all,15,0.01,tyl,7,,3902.755,"[np.float64(20.026403444995747), np.float64(14.958259063283393), np.float64(20.08303453417382), np.float64(23.18950654004515), np.float64(18.04304937048132), np.float64(20.96244770548939), np.float64(20.885814967469766)]",20.972042608123186,1.9000554380968533,0.001171281227142001,0.006051440949812109,,1809
all,all,15,0.01,tyl,8,,3619.5913,"[np.float64(22.404408285837313), np.float64(14.626531099926751), np.float64(21.429075963486397), np.float64(17.912558942553662), np.float64(21.792138938204424), np.float64(21.2051000839767), np.float64(18.090617152213103), np.float64(18.824822890109953)]",20.1991293522712,1.7929520736276017,0.0009609121211746628,0.004927724000228393,,1809
